2026-07-22 00:14:29,931 | INFO | rlopt.IPMD | iter=3730/33909 | frames=550010880/5000085504 | r_step=0.0615 | ep_len=359.0000 | r_ep=21.7924 | pi_loss=-0.0071 | fps=91240.2696
2026-07-22 00:16:20,031 | INFO | rlopt.IPMD | iter=3798/33909 | frames=560037888/5000085504 | r_step=0.0610 | ep_len=349.4700 | r_ep=21.7167 | pi_loss=-0.0070 | fps=91350.4456
2026-07-22 00:18:09,772 | INFO | rlopt.IPMD | iter=3866/33909 | frames=570064896/5000085504 | r_step=0.0611 | ep_len=350.4800 | r_ep=21.4193 | pi_loss=-0.0065 | fps=90843.3483
2026-07-22 00:20:00,087 | INFO | rlopt.IPMD | iter=3934/33909 | frames=580091904/5000085504 | r_step=0.0609 | ep_len=360.6700 | r_ep=21.7626 | pi_loss=-0.0064 | fps=90735.4351
2026-07-22 00:21:50,510 | INFO | rlopt.IPMD | iter=4002/33909 | frames=590118912/5000085504 | r_step=0.0609 | ep_len=390.7600 | r_ep=23.9033 | pi_loss=-0.0064 | fps=91307.3421
2026-07-22 00:23:40,500 | INFO | rlopt.IPMD | iter=4070/33909 | frames=600145920/5000085504 | r_step=0.0608 | ep_len=381.6200 | r_ep=23.2308 | pi_loss=-0.0068 | fps=91601.8746
2026-07-22 00:25:30,591 | INFO | rlopt.IPMD | iter=4137/33909 | frames=610025472/5000085504 | r_step=0.0608 | ep_len=371.4300 | r_ep=22.7728 | pi_loss=-0.0064 | fps=91415.0723
2026-07-22 00:27:20,433 | INFO | rlopt.IPMD | iter=4205/33909 | frames=620052480/5000085504 | r_step=0.0609 | ep_len=362.6900 | r_ep=22.1722 | pi_loss=-0.0071 | fps=91375.5231
2026-07-22 00:29:10,269 | INFO | rlopt.IPMD | iter=4273/33909 | frames=630079488/5000085504 | r_step=0.0610 | ep_len=367.1600 | r_ep=22.4775 | pi_loss=-0.0080 | fps=91816.2152
2026-07-22 00:30:59,776 | INFO | rlopt.IPMD | iter=4341/33909 | frames=640106496/5000085504 | r_step=0.0606 | ep_len=371.6700 | r_ep=23.1618 | pi_loss=-0.0069 | fps=92062.0995
2026-07-22 00:32:48,985 | INFO | rlopt.IPMD | iter=4409/33909 | frames=650133504/5000085504 | r_step=0.0608 | ep_len=387.0900 | r_ep=23.0676 | pi_loss=-0.0068 | fps=92120.1451
