2026-07-22 21:39:57,760 | INFO | rlopt.IPMD | iter=3408/23071 | frames=670040064/4535943168 | r_step=0.0556 | ep_len=321.8700 | r_ep=17.9706 | pi_loss=-0.0079 | fps=97284.7174
2026-07-22 21:41:41,786 | INFO | rlopt.IPMD | iter=3459/23071 | frames=680067072/4535943168 | r_step=0.0556 | ep_len=302.8200 | r_ep=16.7838 | pi_loss=-0.0076 | fps=95812.8249
2026-07-22 21:43:26,149 | INFO | rlopt.IPMD | iter=3510/23071 | frames=690094080/4535943168 | r_step=0.0555 | ep_len=281.6900 | r_ep=15.7255 | pi_loss=-0.0074 | fps=95418.5831
2026-07-22 21:45:10,624 | INFO | rlopt.IPMD | iter=3561/23071 | frames=700121088/4535943168 | r_step=0.0560 | ep_len=297.6100 | r_ep=16.8008 | pi_loss=-0.0078 | fps=96078.5100
2026-07-22 21:46:56,725 | INFO | rlopt.IPMD | iter=3612/23071 | frames=710148096/4535943168 | r_step=0.0560 | ep_len=338.5600 | r_ep=19.1137 | pi_loss=-0.0073 | fps=96154.6361
2026-07-22 21:48:41,253 | INFO | rlopt.IPMD | iter=3663/23071 | frames=720175104/4535943168 | r_step=0.0561 | ep_len=294.5700 | r_ep=16.6803 | pi_loss=-0.0079 | fps=97353.6199
2026-07-22 21:50:23,252 | INFO | rlopt.IPMD | iter=3713/23071 | frames=730005504/4535943168 | r_step=0.0563 | ep_len=285.7900 | r_ep=15.9034 | pi_loss=-0.0080 | fps=95886.4393
2026-07-22 21:52:07,663 | INFO | rlopt.IPMD | iter=3764/23071 | frames=740032512/4535943168 | r_step=0.0565 | ep_len=306.1500 | r_ep=17.2561 | pi_loss=-0.0077 | fps=96338.5255
2026-07-22 21:53:52,616 | INFO | rlopt.IPMD | iter=3815/23071 | frames=750059520/4535943168 | r_step=0.0564 | ep_len=290.4600 | r_ep=16.4650 | pi_loss=-0.0073 | fps=95510.0951
2026-07-22 21:55:37,674 | INFO | rlopt.IPMD | iter=3866/23071 | frames=760086528/4535943168 | r_step=0.0567 | ep_len=291.2800 | r_ep=16.2764 | pi_loss=-0.0081 | fps=95542.3698
