2026-07-21 23:55:13,124 | INFO | rlopt.IPMD | iter=2917/33909 | frames=430129152/5000085504 | r_step=0.0557 | ep_len=281.6900 | r_ep=15.4523 | pi_loss=-0.0060 | fps=88998.3461
2026-07-21 23:57:04,185 | INFO | rlopt.IPMD | iter=2984/33909 | frames=440008704/5000085504 | r_step=0.0559 | ep_len=277.5000 | r_ep=15.5157 | pi_loss=-0.0062 | fps=89387.9341
2026-07-21 23:58:56,238 | INFO | rlopt.IPMD | iter=3052/33909 | frames=450035712/5000085504 | r_step=0.0561 | ep_len=280.5600 | r_ep=15.9832 | pi_loss=-0.0059 | fps=89500.2277
2026-07-22 00:00:49,887 | INFO | rlopt.IPMD | iter=3120/33909 | frames=460062720/5000085504 | r_step=0.0562 | ep_len=275.8500 | r_ep=15.2428 | pi_loss=-0.0055 | fps=89284.0654
2026-07-22 00:02:42,295 | INFO | rlopt.IPMD | iter=3188/33909 | frames=470089728/5000085504 | r_step=0.0567 | ep_len=251.2100 | r_ep=14.3099 | pi_loss=-0.0056 | fps=89258.2644
2026-07-22 00:04:35,072 | INFO | rlopt.IPMD | iter=3256/33909 | frames=480116736/5000085504 | r_step=0.0566 | ep_len=330.7900 | r_ep=18.7771 | pi_loss=-0.0064 | fps=88987.8268
2026-07-22 00:06:28,048 | INFO | rlopt.IPMD | iter=3324/33909 | frames=490143744/5000085504 | r_step=0.0569 | ep_len=297.3000 | r_ep=17.2143 | pi_loss=-0.0068 | fps=89076.8405
2026-07-22 00:08:18,611 | INFO | rlopt.IPMD | iter=3391/33909 | frames=500023296/5000085504 | r_step=0.0570 | ep_len=307.8800 | r_ep=17.5782 | pi_loss=-0.0065 | fps=89772.1198
2026-07-22 00:10:11,058 | INFO | rlopt.IPMD | iter=3459/33909 | frames=510050304/5000085504 | r_step=0.0568 | ep_len=308.7200 | r_ep=17.6202 | pi_loss=-0.0065 | fps=88737.7789
2026-07-22 00:12:03,507 | INFO | rlopt.IPMD | iter=3527/33909 | frames=520077312/5000085504 | r_step=0.0571 | ep_len=303.0600 | r_ep=17.5404 | pi_loss=-0.0067 | fps=89478.4343
